price,address,bathroom,bedroom,furnish,description,property type,ID,longitude,latitude
"€1,800 Per week","22 Mountjoy square, Dublin 1, Dublin City Centre",7,4,Furnished,"
                        In the city center can also enjoy luxury accommodation experience, four-star room whole rental.

Exquisite design and modern luxury are featured in this seven-bedroom duplex house. Each detail has been carefully selected and crafted to provide a bright, airy, spacious and luxurious living room with elegantly decorated, new solid wood bedroom floors, elegant ceilings and spacious bedrooms overlooking the city. The new kitchen is equipped with high-quality decoration, custom-made white lacquer cabinets, and a fully equipped modern open kitchen. High-quality equipment and fixtures open the door for more light and air. All rooms have solid wood floors, the master bedroom includes a retro fireplace, and all rooms are furnished with the latest. There is also a roof garden, It's easy to get around in the heart of Dublin city center.

Mountjoy Square is the sought-after hub of Dublin city, an ideal location for commuters, with a 3-minute walk to the nearest BUS station, and LUAS (red line) and Connolly (LUAS, DART and BUS) stations within a short walk. Close to the city center, it's a seven-minute walk to the minaret, a four-minute walk to Parnell Street, and less than a 10-minute walk to crocker park stadium. Mater, the circular building, and Temple Street hospital are all nearby. It's only a 10-minute walk from Jervis Street, the largest shopping center in district 1. Other local facilities include the Dublin writers museum, pubs, shops and schools (DIT, TRINITY, etc.).
                    ",House,22016581,-6.259054,53.356674
"€7,750 Per month","Westminster Road, Foxrock, Dublin 18, Foxrock, Dublin 18, South Co. Dublin",5,5,Unfurnished,"
                        ***Must be Seen***This is a truly amazing detached home with separate apartment and garage tucked off the famous prestigious leafy Westminster Road.   

Beautifully designed throughout and fitted to the highest standard, with top of the range kitchens and  high spec bathroom and floors completed in Italian stone.   Exceptionally bright with great space and offering security and privacy. 

Accom comprises Large elegant reception hall with beautiful Italian marble flooring leading to elegant large living room with feature fireplace and glass doors leading to exceptionally large kitchen with dining area.  French doors leading to private large patio area great for barbeques and entertaining.  Large family room off the kitchen which is great for play area of Television room.   Separate utility room with small family wc and abundance of storage.  Large Guest downstairs wc.  Large elegant study. Four large double bedrooms with two ensuite.  Large family bathroom.  Further large reception room/Study .*** More photos to follow***

Separate superb designed one bed apartment.  Large kitchen with all high spec modern appliances. Elegant Living room overlooking the gardens.  One double bedrooms with main bathroom ( Suitable of guests or Child Minder)  Surrounded by large private gardens.  Electric Gates and separate two level garage great for storage and well insulated throughout.
                    ",House,22061114,-6.173972,53.269267
"€7,500 Per month","Currabinny, Kilmore Avenue, Killiney, South Co. Dublin",5,3,Furnished,"
                        Currabinny is a Hollywood Style House overlooking Killiney Bay - set in over half an acre of garden with a cobblelocked driveway including water and lighting features.

We are proud to present this wonderful luxury rental opportunity, located in one of the most desirable and sought after areas in the country.

* 2 sitting rooms with French doors, leading onto a patio with Panoramic Views of Killiney Bay

* 5 bedrooms - 2 en suite

* 2 further bathrooms

* Kitchen and separate utility room

* Large dining room with Butler's pantry

* Study - nursery - at garden level there is an au- pair's sitting room / bedroom and separate shower

* Superb marble staircase

Currabinny is located near the local DART station and close to Holy Child (girl's ) School. Killiney Hill and the beach are a short walk away. Killiney and Dalkey villages are nearby, with all the very best shopping and restaurant experiences available.
                    ",House,22057364,-6.113289,53.258829
"€7,500 Per month","Apartment Q Coliemore Apartments Coliemore Road, Dalkey, South Co. Dublin",3,3,Furnished,,Apartment,22017405,-6.093661,53.275072
"€1,710 Per week","10 Warrington Place, Dublin 2, Dublin City Centre",6,6,Furnished,"
                        Free Wifi Available. Three minute walk to airport bus stop.

Dublin City Bicycles are just around the corner.

Close to National Gallery, Leinster House, Museums.
Room rate normally €538 per week, now from €285 per week. €55% discounted

This house is let on a room by room basis from €285 per room per week. Lovely rooms to let in Georgian house in the heart of Dublin City. Over looking the Grand Canal. All Rooms are fully made up and are ensuite to a bathroom. All with own TV. Access to Guest Kitchen, comfortable living room area and separate breakfast room.

All prices are inclusive of electricity and central heating.
                    ",House,22052078,-6.254225,53.340022
"€7,250 Per month","61 Ballsbridge Wood, Ballsbridge, Dublin 4, South Dublin City",4,3,Furnished,"
                        Bergins Property Consultants are delighted to present this extensively renovated and modern penthouse. This unique property is spacious (over 325 SqM) and well-presented, located on the top floor of a fourstorey building, with south westerly views over Dublin 4 and the Aviva stadium from two sunny terraces. Ballsbridge Wood is situated within this very private and very well managed development off Shelbourne Road. Entry to the property is directly in to the main hall from the lift, and access is limited by secure key. A further secure entrance is accessed by stair case from the 3rd floor. Immediately opposite the lift double doors open in to an expansive and bright drawing room. This living area has vaulted ceiling, a warming gas fireplace and a windows on two sides. With parquet flooring and neutral and tasteful décor, this is a very elegant room, with comfortable and stylish furniture. Off the drawing room and with similar south westerly aspect is a very large dining room. The large bay window in this room opens on either side to two terraces. The kitchen is accessed conveniently from the dining room, via dual hinge door, and also, from the main hall. Fully renovated to an exceptionally high standard, with a full range of integrated Miele appliances, to include oven, combi/microwave, wine fridge, induction hob, this is a very well appointed kitchen, with ample storage and a cosy dining area. Off the kitchen is a small larder area. The main hall leads to, at one end, the master suite and a further living room. The Master is a very large room leading in to a well fitted dressing room and through to a large and elegant ensuite bathroom with marble finishes, excellent storage and a very large shower with rain dance shower head. At the other end of the main hall are two large double bedrooms, both with fitted wardrobes. The second of these has an ensuite bathroom, finished with marble tiling, WHB, WC and shower. A bathroom with WHB, WC and shower completes this floor. Up a small flight of stairs is a further small bedroom, store room and a separate laundry room with Miele washer and dryer and linen storage. This apartment is a mere 3 minute walk to Shelbourne Road, the Oval Building, One Ballsbridge, and on to AIB Bank centre, etc. Residents have access through gate to Lansdowne Dart Station, via Lansdowne Wood. The city centre/Barrow Street, Google etc, all within 20-30 minute walk, and good transport links are all within easy reach, to include, Dart as mentioned, bus and rail. Aircoach route passes through Ballsbridge, to Dublin Airport. The property comes with one parking permit.
                    ",Apartment,22051319,-6.229183,53.333042
"€7,000 Per month","3 Rockville Road, Blackrock, South Co. Dublin",12,4,Furnished,"
                        Student Groups 
Confucious Institute UCD
12 month courses / Smurfit
Nursing UCD / St Vincents 

Flexible arrangements considered 
Suit 1 group 
Or 
2 smaller groups.   

Management charges +
Gas Electric Waste & Broadband @ 50 per person per month

First floor unit over Spar Store.
Own Door self contained
12 bed 
- internet connection each room.

2 x Kitchen / living rooms

wood floors

Sun deck outdoor to rear.

Past lettings to
Tech Company Sandyford Ind Estate  114 Bus
Near Newpark Music school. 2 minutes
UCD Smurfit Blackrock short walk - 14 minutes.
UCD Belfield 114 and 46A
Near shops and all conveniences.1 minute


Please email your interest.
                    ",House,22057362,-6.172236,53.290649
"€7,000 Per month","Penthouse Apartment, Intercontinental Hotel, Ballsbridge, Dublin 4, South Dublin City",2,3,Furnished,"
                        *****  DEPOSIT TAKEN ***** Stunning fully furnished apartment to rent in the heart of Ballsbridge. This  apartment is very large at nearly 2,000 sq ft, it is very bright and luxurious. Situated on a private floor at the 5 Star Intercontinental Hotel, only accessible to residents living in the hotel. As a new resident you will have access to all of the amenities that one would be expect at a 5 Star Intercontinental Resort to include gym membership, room service, full concierge service and private secure underground parking. All electrical & heating bills are included in the rent. Accommodation includes two large double bedrooms (both with very large en-suites), large living/dining room, separate kitchen fitted with the highest standard of appliances available. There is a separate WC off the generously sized entrance lobby. 

This apartment is just 1 of 2 apartments that come with a full private terrace.  

MUST BE SEEN.
                    ",Apartment,21751438,-6.226088,53.326653
"€6,950 Per month","11 Marlborough Road, Glenageary, South Co. Dublin",5,3,Unfurnished,,House,22058727,-6.123358,53.279073
"€6,800 Per month","Goatstown Road, Clonskeagh, Dublin 14, South Dublin City",7,4,Furnished,"
                        Large house in very good condition - can accommodate 12 people in following bedroom configuration
 2 x single rooms
1 twin room -2x single beds
1 twin room 2 single beds and an ensuite bathroom
1 twin room with bunk beds
1 quadruple room with 4 single bed and its own ensuite bathroom
There is large kitchen ,dining area, living room , 2 shared bathrooms and a den(attic room) & rear garden & patio. 2 car parking spaces.
5 minute walk from UCD Clonskeagh gate.
Available from Aug 31.  Minimum lease 12 months.
                    ",House,22057340,"-6.23272,",53.296874
"€6,650 Per month","29 North Avenue, Stillorgan, South Co. Dublin",6,3,Furnished,"
                        This home has been completely renovated and refurbished to an extremely high standard and there are 11 desks to match the 11 bed spaces. Equally as impressive is the fact that the home is located approx. 300m from the gate of U.C.D., is situated on bus route, has a BER OF B3 which ensures you will be cosy at any time of the year.

Accommodation includes;

1 x single bedroom (1 x study desk)
5 x twin bedrooms (10 x stucy desks)

There is an option to have bills, bins, cleaning and WIFI included for a moderate price adjustment.

11 bed spaces, 11 accompanying desks
LARGE DINING QUARTERS
2 X Fridges
2 x Freezers
2 x Dishwashers
2 Microwaves

6 BEDROOMS
5 BATHROOMS
LARGE KITCHEN AND DINING QUARTERS
GREAT OUTSIDE SPACE
                    ",House,22061593,-6.212639,53.299137
"€6,604 Per month","Upper Leeson Street, Dublin 2, Dublin City Centre",5,3,Unfurnished,"
                        This is an absolutely fabulous unfurnished Georgian family home which is situated at the corner of Upper Leeson Street and Burlington Road, which is one of the most prestigious areas in Dublin, Approx 340 sq m, this property has been completely refurbished throughout to the highest of standards. The designers have sympathetically retained the period features with the restoration of the cornice work, sash windows, mantelpieces, doors and archeries. , The high ceilings and  large picture windows allow the sun to pour into all the well portioned rooms giving it a great airy feel.  The property also has the added bonus of being within walking distance of the City Centre, Donnybrook, Ballsbridge, Baggot Street, Ranelagh and it offers easy access to the N11 and Blackrock Road.  It is surrounded by number of superb schools for all ages such as Teresian, Muckcross, St Michaels and St Marys.  Public transport is outside your door as well as the Air Coach.  Restaurants, bars and cafes and all other amenities are at your fingertips.
Accommodation comprises a large airy entrance leading to a generous family reception room /study with feature fireplace.  A large double bedroom has built in wardrobes. The small hallway leads to the kitchen with high spec Miele appliances to include a wine cooler. There is separate utility room with washer and dryer and a breakfast or family dining area.   The extension from the kitchen can have the added advantage of being used as a Nanny/separate residential area.  Upstairs are the beautiful and elegant reception rooms with feature fireplace, remote control gas fire and an interconnecting door separating the rooms - Excellent for entertaining. Upstairs the Master bedroom is the full width of the home and has been designed with a dressing area and ensuite including a high power jet shower. The second double bedroom also has an ensuite.   Large front garden . On Street Parking  Plenty of storage.
                    ",House,22004559,-6.248465,53.329504
"€6,500 Per month","The Merrion Hotel, Upper Merrion Street, Dublin 2, Dublin City Centre",1,2,Furnished,"
                        GALVIN PROPERTY are delighted to present this residential apartment at the Merrion Hotel. This incredibly elegant one bedroom apartment has to be the most unique one bed apartment available in the city and really needs to be viewed. Located in the Five Star Merrion Hotel, this privately owned apartment is presented in the most beautiful order and is available for rent from September 1st. The new resident will have access to the extensive leisure facilities within the hotel, to include gym, swimming pool, spa facilities and all other services that one would expect at a 5 star hotel.

With over 1,200 sq ft of accommodation, this residence has been furnished and decorated with contemporary finishes and high end design features.

Accommodation includes: Very large Entrance Hallway, WC, Utility Room, Kitchen/Dining Room, Living Room, 2nd Hallway/Home Office Area, Large Double Bedroom, Bathroom with Walk in Shower & Bath, Walk in Wardrobe. 


The apartment has Climate Control, Air Handling Systems, Sound Insulated Glazing and a TV & Sound System.

The Merrion is one of the best-located hotels in Dublin, standing directly opposite Government Buildings in the city centre. Also located on Upper Merrion Street are The National Gallery and The National Museum of Ireland. A short walk leads to the ""golden mile"" of lively pubs, shops and restaurants dotted around St. Stephen's Green. Grafton Street, the city's famous shopping street, is a five minute walk away. The Merrion's location on the south side of Dublin city is at the heart of the busy commercial and business districts. At weekends, the city is quieter and horse-drawn carriages clip-clop past the railings of nearby Merrion Square, hung with the work of local artists. The Merrion's unparalleled location in the heart of Georgian Dublin enhances its reputation as the most charming 5-star hotel in Ireland.

Rent quoted for 12 month lease minimum.
                    ",Apartment,22041710,-6.252852,53.338537
"€6,500 Per month","The Liberties, Dublin 8, South Dublin City",9,9,Furnished,,Apartment,22031293,-6.278043,53.339818
"€6,200 Per month","Grove Park, Rathmines, Dublin 7, Rathmines, Dublin 6, South Dublin City",6,3,Furnished,,House,22034139,-6.264935,53.329225
"€1,400 Per week","Ridge Hall Ballybrack, Glenageary, South Co. Dublin",3,3,Furnished,"
                        Ridge Hall is a stunning short let, luxurious penthouse apartment with great views and filled with natural light, in South Dublin. Located in Glenageary the apartment is only 5 minutes drive from Dun Laoghaire and just a 10 minute walk to the Dart (light rail system). With easy access to the M50 this is a great apartment for holiday lets Dublin

This large, luxurious penthouse apartment with great views and filled with natural light. Located in Glenageary the apartment is only 5 minutes drive from Dun Laoghaire and just a 10 minute walk to the Dart (light rail system). The apartment is located in a private mature setting and is accessed via electronic gates.

This property has been fitted out and equipped to the highest standards and offers spacious accommodation for up to 6 people in 2 double ensuite rooms with the third room containing bunk beds. With 3 luxury bathrooms and showers guests will be surrounded with the best of facilities and comfort.

There is a large open plan living/dining area and a spacious modern kitchen that is fully equipped. Large comfortable couches await your return from your sightseeing trips or after a long day at the office.

Located in Ballybrack the apartment is within a 10 minute walk of the Dart or just 5 minutes from Dun Laoghaire by car.

The general areas of Dun Laoghaire, Sandycove, Dalkey and Killiney are all within striking distance of the apartment and offer a host of activities, restaurants, shops and bars. In addition to what's on offer locally there is easy access to the city for those wanting to spend time in one of the most exciting cities in Europe. Easily enjoy the best of both options.

Located on the south of the city the location offers easy access to County Wicklow 'The Garden of Ireland'. Enjoy trips to Glendalaough or Powerscort Gardens and Waterfall.
                    ",Apartment,21823868,-6.124035,53.251505
"€6,000 Per month","Beechill, Donnybrook, Dublin 4, South Dublin City",7,3,Furnished,"
                        Perfect for UCD Students 

Fully refurbished 7 bedroom house to rent in the heart of Dublin 4. 
2 minute walk to UCD!
Suits 8/9 people.
Situated in Donnybrook, itâ€™s a 3 minute walk to the bus stop on the N11.

1 year lease but ability to sub let house or part of house after 9 months.

The house comprises of a large living room at the front,  kitchen and dining room,7 bedrooms, 3 bathrooms, front and back garden, off street parking

2 month deposit required.


Available immediately...
                    ",House,22055098,-6.233028,53.316567
"€6,000 Per month","Stillorgan grove, Blackrock, South Co. Dublin",7,4,Furnished,,House,22037172,-6.194357,53.286074
"€6,000 Per month","80 pearse Street, Dublin 2, Dublin City Centre",6,7,Furnished or unfurnished,"
                        Newly refurbished 6 bedroom flat, a high spec finish throughout.

The flat contains 6No. double bedrooms, all ensuite shower rooms. Bedrooms have solid, oak herringbone floors. 

Each bedroom door is secured with a digital/bluetooth lock.

Kitchen/Diner - stainless steel kitchen, with quartz worktop and kitchen island. Limestone tiled floor with underfloor heating. Stainless steel appliances, large fridge and freezer, washing machine and dryer.

Separate living room

Rear courtyard garden.

City centre location, near Pearse Street dart station and Trinity College, across the road from Pearse Street Library.
                    ",House,22052529,-6.244886,53.343383
"€5,950 Per month","Morehampton Road, Donnybrook, Dublin 4, South Dublin City",4,2,Furnished,"
                        ADVANCE NOTICE - AT MARSHALL PROPERTIES - Exceptional value in the heart of Dublin 4.  Entire building.  Superb, red brick home, set back from the road with ample parking for easily 4 cars.  To be let as fully FURNISHED - although the photos show the property without furniture.  Consisting of large reception hall, 3 receptions rooms and 4 bedrooms, 2 bathrooms and large eat-in kitchen with separate large laundry room with ample storage throughout.  Upgraded boiler, heating and windows etc.  Long, fully enclosed back garden.  See photos. More details, terms and conditions from Marshall Properties.  Viewing strictly by prior appointment only.
                    ",House,22045738,-6.241563,53.325477
